"name","price","engine","cyl","hp","city_mpg","hwy_mpg","weight","wheel","length","width"
"Acura 3.5 RL 4dr",43755,3.5,6,225,18,24,3880,115,197,72
"Acura 3.5 RL w/Navigation 4dr",46100,3.5,6,225,18,24,3893,115,197,72
"Acura MDX",36945,3.5,6,265,17,23,4451,106,189,77
"Acura NSX coupe 2dr manual S",89765,3.2,6,290,17,24,3153,100,174,71
"Acura RSX Type S 2dr",23820,2,4,200,24,31,2778,101,172,68
"Acura TL 4dr",33195,3.2,6,270,20,28,3575,108,186,72
"Acura TSX 4dr",26990,2.4,4,200,22,29,3230,105,183,69
"Audi A4 1.8T 4dr",25940,1.8,4,170,22,31,3252,104,179,70
"Audi A4 3.0 4dr",31840,3,6,220,20,28,3462,104,179,70
"Audi A4 3.0 convertible 2dr",42490,3,6,220,20,27,3814,105,180,70
"Audi A4 3.0 Quattro 4dr auto",34480,3,6,220,18,25,3627,104,179,70
"Audi A4 3.0 Quattro 4dr manual",33430,3,6,220,17,26,3583,104,179,70
"Audi A4 3.0 Quattro convertible 2dr",44240,3,6,220,18,25,4013,105,180,70
"Audi A41.8T convertible 2dr",35940,1.8,4,170,23,30,3638,105,180,70
"Audi A6 2.7 Turbo Quattro 4dr",42840,2.7,6,250,18,25,3836,109,192,71
"Audi A6 3.0 4dr",36640,3,6,220,20,27,3561,109,192,71
"Audi A6 3.0 Avant Quattro",40840,3,6,220,18,25,4035,109,192,71
"Audi A6 3.0 Quattro 4dr",39640,3,6,220,18,25,3880,109,192,71
"Audi A6 4.2 Quattro 4dr",49690,4.2,8,300,17,24,4024,109,193,71
"Audi A8 L Quattro 4dr",69190,4.2,8,330,17,24,4399,121,204,75
"Audi RS 6 4dr",84600,4.2,8,450,15,22,4024,109,191,78
"Audi S4 Avant Quattro",49090,4.2,8,340,15,21,3936,104,179,70
"Audi S4 Quattro 4dr",48040,4.2,8,340,14,20,3825,104,179,70
"Audi TT 1.8 convertible 2dr (coupe)",35940,1.8,4,180,20,28,3131,95,159,73
"Audi TT 1.8 Quattro 2dr (convertible)",37390,1.8,4,225,20,28,2921,96,159,73
"Audi TT 3.2 coupe 2dr (convertible)",40590,3.2,6,250,21,29,3351,96,159,73
"BMW 325Ci 2dr",30795,2.5,6,184,20,29,3197,107,177,69
"BMW 325Ci convertible 2dr",37995,2.5,6,184,19,27,3560,107,177,69
"BMW 325i 4dr",28495,2.5,6,184,20,29,3219,107,176,69
"BMW 325xi 4dr",30245,2.5,6,184,19,27,3461,107,176,69
"BMW 325xi Sport",32845,2.5,6,184,19,26,3594,107,176,69
"BMW 330Ci 2dr",36995,3,6,225,20,30,3285,107,176,69
"BMW 330Ci convertible 2dr",44295,3,6,225,19,28,3616,107,177,69
"BMW 330i 4dr",35495,3,6,225,20,30,3285,107,176,69
"BMW 330xi 4dr",37245,3,6,225,20,29,3483,107,176,69
"BMW 525i 4dr",39995,2.5,6,184,19,28,3428,114,191,73
"BMW 530i 4dr",44995,3,6,225,20,30,3472,114,191,73
"BMW 545iA 4dr",54995,4.4,8,325,18,26,3814,114,191,73
"BMW 745i 4dr",69195,4.4,8,325,18,26,4376,118,198,75
"BMW 745Li 4dr",73195,4.4,8,325,18,26,4464,123,204,75
"BMW M3 convertible 2dr",56595,3.2,6,333,16,23,3781,108,177,70
"BMW M3 coupe 2dr",48195,3.2,6,333,16,24,3415,108,177,70
"BMW X3 3.0i",37000,3,6,225,16,23,4023,110,180,73
"BMW X5 4.4i",52195,4.4,8,325,16,22,4824,111,184,74
"BMW Z4 convertible 2.5i 2dr",33895,2.5,6,184,20,28,2932,98,161,70
"BMW Z4 convertible 3.0i 2dr",41045,3,6,225,21,29,2998,98,161,70
"Buick Century Custom 4dr",22180,3.1,6,175,20,30,3353,109,195,73
"Buick LeSabre Custom 4dr",26470,3.8,6,205,20,29,3567,112,200,74
"Buick LeSabre Limited 4dr",32245,3.8,6,205,20,29,3591,112,200,74
"Buick Park Avenue 4dr",35545,3.8,6,205,20,29,3778,114,207,75
"Buick Park Avenue Ultra 4dr",40720,3.8,6,240,18,28,3909,114,207,75
"Buick Rainier",37895,4.2,6,275,15,21,4600,113,193,75
"Buick Regal GS 4dr",28345,3.8,6,240,18,28,3536,109,196,73
"Buick Regal LS 4dr",24895,3.8,6,200,20,30,3461,109,196,73
"Buick Rendezvous CX",26545,3.4,6,185,19,26,4024,112,187,74
"Cadillac CTS VVT 4dr",30835,3.6,6,255,18,25,3694,113,190,71
"Cadillac Deville 4dr",45445,4.6,8,275,18,26,3984,115,207,74
"Cadillac Deville DTS 4dr",50595,4.6,8,300,18,26,4044,115,207,74
