"","income","age","capital_gain","capital_loss","hours_per_week","workclass","education","marital.status","occupation","relationship","race","sex","native.country"
"1","0",39,"Low","None",40," Other-gov"," Bachelors","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"2","0",50,"None","None",13," Self-Employed"," Bachelors","Married"," Management"," Husband","White"," Male","United-States"
"3","0",38,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"4","0",53,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"5","0",28,"None","None",40," Private"," Bachelors","Married"," High-Service"," Wife","Black"," Female","South-America-Frontier"
"6","0",37,"None","None",40," Private"," Masters","Married"," Management"," Wife","White"," Female","United-States"
"7","0",49,"None","None",16," Private"," Dropout","Not-Married"," Service"," Not-in-family","Black"," Female","South-America-Emerging"
"8","0",23,"None","None",30," Private"," Bachelors","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"9","0",32,"None","None",50," Private"," Associates","Never-Married"," Sales"," Not-in-family","Black"," Male","United-States"
"10","0",34,"None","None",45," Private"," Dropout","Married"," Blue-Collar"," Husband","Amer-Indian"," Male","South-America-Emerging"
"11","0",25,"None","None",35," Self-Employed"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"12","0",32,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","White"," Male","United-States"
"13","0",38,"None","None",50," Private"," Dropout","Married"," Sales"," Husband","White"," Male","United-States"
"14","0",54,"None","None",20," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","Black"," Female","United-States"
"15","0",35,"None","None",40," Federal-gov"," Dropout","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"16","0",43,"None","High",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"17","0",59,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","White"," Female","United-States"
"18","0",19,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"19","0",39,"None","None",80," Private"," HS-Graduate","Not-Married"," Management"," Not-in-family","White"," Male","United-States"
"20","0",49,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"21","0",23,"None","None",52," Other-gov"," Associates","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"22","0",20,"None","None",44," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","Black"," Male","United-States"
"23","0",45,"None","Low",40," Private"," Bachelors","Not-Married"," Management"," Own-child","White"," Male","United-States"
"24","0",30,"None","None",40," Federal-gov"," HS-Graduate","Married"," Administration"," Own-child","White"," Male","United-States"
"25","0",22,"None","None",15," Other-gov"," HS-Graduate","Married"," Service"," Husband","Black"," Male","United-States"
"26","0",48,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Unmarried","White"," Male","Western-Emerging"
"27","0",21,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"28","0",19,"None","None",25," Private"," HS-Graduate","Married"," Administration"," Wife","White"," Female","United-States"
"29","0",48,"None","None",40," Self-Employed"," Associates","Married"," High-Service"," Husband","White"," Male","United-States"
"30","0",31,"None","None",43," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"31","0",53,"None","None",40," Self-Employed"," Bachelors","Married"," High-Service"," Husband","White"," Male","United-States"
"32","0",24,"None","None",50," Private"," Bachelors","Married"," Service"," Husband","White"," Male","United-States"
"33","0",49,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"34","0",25,"None","None",35," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"35","0",53,"None","None",38," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"36","0",44,"None","None",40," Private"," Masters","Not-Married"," Management"," Unmarried","White"," Female","United-States"
"37","0",41,"None","None",40," Other-gov"," Associates","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"38","0",29,"None","None",43," Private"," Associates","Never-Married"," High-Service"," Not-in-family","White"," Male","United-States"
"39","0",25,"None","None",40," Private"," HS-Graduate","Married"," Management"," Wife","Other"," Female","United-States"
"41","0",47,"None","None",60," Self-Employed"," HS-Graduate","Not-Married"," Management"," Not-in-family","White"," Male","United-States"
"42","0",46,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","South-America-Emerging"
"43","0",35,"None","None",40," Private"," Associates","Married"," Service"," Husband","White"," Male","Western-Emerging"
"44","0",41,"None","None",48," Private"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"45","0",30,"Low","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"46","0",30,"Low","None",40," Private"," Bachelors","Married"," Sales"," Husband","White"," Male","United-States"
"48","0",48,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"49","0",29,"None","None",58," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Male","United-States"
"50","0",36,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"51","0",28,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"53","0",19,"None","None",32," Private"," HS-Graduate","Never-Married"," High-Service"," Own-child","White"," Male","United-States"
"54","0",31,"None","None",40," Private"," Bachelors","Not-Married"," Sales"," Own-child","Black"," Female","United-States"
"55","0",23,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"56","0",79,"None","None",20," Private"," HS-Graduate","Married"," High-Service"," Other-relative","White"," Male","United-States"
"57","0",27,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Male","South-America-Emerging"
"58","0",40,"None","None",40," Private"," Associates","Married"," Administration"," Husband","White"," Male","United-States"
"60","0",18,"None","None",22," Private"," Dropout","Never-Married"," Service"," Own-child","White"," Female","United-States"
"61","0",31,"None","None",40," Other-gov"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"62","0",18,"None","None",30," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"63","0",52,"None","None",40," Private"," Bachelors","Married"," Service"," Husband","White"," Male","South-America-Frontier"
"64","0",46,"None","None",40," Private"," HS-Graduate","Married"," Service"," Wife","White"," Female","United-States"
"65","0",59,"None","None",48," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"66","0",53,"None","None",35," Private"," HS-Graduate","Not-Married"," Sales"," Own-child","White"," Female","United-States"
"67","0",33,"None","None",50," Private"," Masters","Married"," High-Service"," Husband","White"," Male","United-States"
"68","0",30,"None","None",40," Private"," Dropout","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"69","0",57,"None","None",40," Private"," Associates","Married"," High-Service"," Husband","White"," Male","United-States"
"70","0",37,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Unmarried","White"," Female","United-States"
"71","0",28,"None","None",25," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Unmarried","Black"," Female","United-States"
"73","0",29,"None","None",50," Other-gov"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"74","0",48,"None","None",40," Private"," Associates","Not-Married"," Management"," Unmarried","White"," Female","Western-Developed"
"75","0",32,"None","None",40," Federal-gov"," HS-Graduate","Never-Married"," Service"," Own-child","Black"," Male","United-States"
"76","0",47,"None","None",50," Self-Employed"," Masters","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"77","0",20,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"78","0",29,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"80","0",30,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"81","0",31,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"82","0",42,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"83","0",24,"None","None",40," Private"," Bachelors","Never-Married"," Sales"," Other-relative","White"," Male","United-States"
"84","0",28,"Low","None",25," Private"," HS-Graduate","Married"," Sales"," Wife","White"," Female","United-States"
"85","0",36,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Female","United-States"
"86","0",53,"None","None",50," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"87","0",56,"None","None",50," Self-Employed"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"88","0",55,"None","None",56," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"89","0",22,"None","None",41," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"90","0",21,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"91","0",40,"None","None",60," Private"," Bachelors","Married"," Management"," Husband","White"," Male","United-States"
"92","0",30,"None","None",40," Private"," Bachelors","Never-Married"," Management"," Own-child","Black"," Male","Western-Developed"
"93","0",19,"None","None",35," Private"," HS-Graduate","Never-Married"," Service"," Own-child","Black"," Male","United-States"
"94","0",20,"None","Low",28," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"96","0",39,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"97","0",28,"None","None",60," Private"," Associates","Never-Married"," Sales"," Not-in-family","White"," Female","United-States"
"98","0",24,"None","Low",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Female","United-States"
"99","0",38,"Low","None",35," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"100","0",37,"None","None",50," Private"," Bachelors","Married"," Sales"," Husband","White"," Male","United-States"
"101","0",46,"None","None",36," Private"," Associates","Not-Married"," Service"," Not-in-family","Black"," Female","United-States"
"102","0",43,"None","None",60," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
